clean_text,llm_sentiment,llm_aspects,llm_reason
以防你不知道莫娜的重击和永世叹息之门的图标一模一样,中性,['其他'],陈述游戏内图标相似的事实，无情感倾向
其他国家的羁绊也端上来吧，加强后羁绊的名字我都想好了 蒙德： 魔女的课业 骑士的试炼 璃月： 仙人的雅仪 七星的祝颂 稻妻： 神樱的赐福 妖怪的赠礼 须弥： 童真的回馈 七柱的余权 枫丹： 源水的流溢,正面,"['剧情', '社交与同人']",表达对其他国家羁绊系统的期待和创意命名
感谢,正面,['其他'],简单感谢，正面情感
钟离和温迪就是两个极端 温迪是摸鱼了大半辈子，知道马上要出大事了赶紧去恢复力量扛大旗 老爷子则是兢兢业业干了大半辈子，明知提瓦特马上要出大事，还是找个赶紧机会退休养老 只能说钟离的准备工作应该大部分做完了，后续剧情我们应该会看到温迪出手，但想看钟离动真格，只能期待哪次海灯节给我们放点魔神战争的回忆,中性,['剧情'],分析角色性格和剧情走向，无明显情感倾向
小杜林饿了找吃的会怎么样？ 会变成℃，因为是摄食杜（摄氏度） 小杜林戴着华丽的装饰会怎么样？ 会变成℉，因为是华饰杜（华氏度）,正面,['其他'],幽默谐音梗，轻松正面
温迪：力量似乎回来了，不多但够用,中性,['剧情'],引用角色台词，无情感评价
我的前瞻画面是这样一 这对吗？？,负面,['运营'],对前瞻画面表示质疑，不满
前瞻直播兑换码： 祈月之夜快乐 小杜林大冒险 人气奇匠为你献上 上半卡池：杜林+温迪，4星雅柯达 下半卡池：瓦雷莎+希诺宁,中性,"['活动', '抽卡']",提供前瞻兑换码和卡池信息，客观陈述
希望哥伦比娅和爱可菲不歪,正面,['抽卡'],表达对抽卡不歪的期望，正面情感
我一直以为少女说“回到月亮上”是在委婉表达自己要挂掉了原来真的是回家的意思吗hh 该怎么区分两种意思,中性,['剧情'],对台词含义提出疑问，无情感倾向
哎我有一计，给班尼特上夜魂+魔导会发生什么,中性,['数值与机制'],提出游戏机制组合的假设，中性探讨
你是说神秘粘光男不仅多了新的队友，而且两个现在的四星队友全部加强，有一大堆剧情的同时，还混进了愚人会的茶会? 全体菲林斯玩家保持嘴角平稳！😡,负面,"['剧情', '数值与机制']",讽刺菲林斯玩家被冷落，不满情绪
